type,method,sigma,filter_size,jpg_PSNR,PSNR,deltaPSNR,jpg_SSIM,SSIM,deltaSSIM,jpg_brisque,brisque,deltaBrisque
gauss,fixed_multilevel_tresholding,0.4,3,28.50617,21.0823405,-28.9669005,0.92862,0.8241416875,-9.8922145,44.20611,44.5415261875,-13.8205666875
gauss,fixed_multilevel_tresholding,0.4,5,28.50617,29.010785375,-2.32093725,0.92862,0.9124008125,-0.2250826875,44.20611,50.661271375,-2.25152525
gauss,fixed_multilevel_tresholding,0.4,7,28.50617,29.6461778125,-0.2460054375,0.92862,0.9154340625,0.1088943125,44.20611,50.4012879375,-2.7296870625
gauss,fixed_multilevel_tresholding,0.4,9,28.50617,29.6461778125,-0.2460055,0.92862,0.9154340625,0.1088943125,44.20611,50.4012879375,-2.729687125
gauss,fixed_multilevel_tresholding,0.4,11,28.50617,29.6461776875,-0.246005875,0.92862,0.9154340625,0.1088943125,44.20611,50.4012878125,-2.7296873125
gauss,fixed_multilevel_tresholding,0.4,13,28.50617,29.64617675,-0.246008875,0.92862,0.9154340625,0.1088943125,44.20611,50.401290875,-2.72968175
gauss,fixed_multilevel_tresholding,0.7,3,28.50617,21.1544606875,-28.721107125,0.92862,0.8320133125,-9.02555875,44.20611,47.8796058125,-7.3139689375
gauss,fixed_multilevel_tresholding,0.7,5,28.50617,29.503333125,-0.6483986875,0.92862,0.92276,0.9155931875,44.20611,53.0126395625,2.7331201875
gauss,fixed_multilevel_tresholding,0.7,7,28.50617,30.217832375,1.688615375,0.92862,0.925912875,1.2627574375,44.20611,52.753486625,2.22206975
gauss,fixed_multilevel_tresholding,0.7,9,28.50617,30.2178605,1.688708875,0.92862,0.925913,1.262771125,44.20611,52.753528125,2.2221509375
gauss,fixed_multilevel_tresholding,0.7,11,28.50617,30.2178605,1.688708875,0.92862,0.925913,1.262771125,44.20611,52.753528125,2.2221509375
gauss,fixed_multilevel_tresholding,0.7,13,28.50617,30.2178605,1.688708875,0.92862,0.925913,1.262771125,44.20611,52.753528125,2.2221509375
gauss,fixed_multilevel_tresholding,1.1,3,28.50617,21.17302575,-28.6578708125,0.92862,0.833745,-8.8351346875,44.20611,51.973227125,0.80377225
gauss,fixed_multilevel_tresholding,1.1,5,28.50617,29.7910519375,0.327622375,0.92862,0.927525,1.439192875,44.20611,54.1373215625,5.0258993125
gauss,fixed_multilevel_tresholding,1.1,7,28.50617,30.62750125,3.073238375,0.92862,0.931358375,1.8608283125,44.20611,55.0049555625,6.6599935
gauss,fixed_multilevel_tresholding,1.1,9,28.50617,30.6348984375,3.098070375,0.92862,0.9314079375,1.86623975,44.20611,55.019601625,6.687840625
gauss,fixed_multilevel_tresholding,1.1,11,28.50617,30.635097,3.0987465,0.92862,0.931409625,1.866423,44.20611,55.0197468125,6.6881115625
gauss,fixed_multilevel_tresholding,1.1,13,28.50617,30.6350988125,3.0987523125,0.92862,0.931409625,1.866423,44.20611,55.019747625,6.6881131875
gauss,fixed_multilevel_tresholding,1.4,3,28.50617,21.1767679375,-28.645147375,0.92862,0.834064375,-8.79998,44.20611,52.63728975,2.134277375
gauss,fixed_multilevel_tresholding,1.4,5,28.50617,29.8612671875,0.56441725,0.92862,0.928513125,1.547207125,44.20611,54.48156275,5.7210545
gauss,fixed_multilevel_tresholding,1.4,7,28.50617,30.7472093125,3.4724459375,0.92862,0.932536875,1.988782125,44.20611,55.55583725,7.7612365625
gauss,fixed_multilevel_tresholding,1.4,9,28.50617,30.7635689375,3.526237375,0.92862,0.93262075,1.9976298125,44.20611,55.628237375,7.903484375
gauss,fixed_multilevel_tresholding,1.4,11,28.50617,30.7650419375,3.5310554375,0.92862,0.9326283125,1.998414625,44.20611,55.6190055625,7.887481875
gauss,fixed_multilevel_tresholding,1.4,13,28.50617,30.7651539375,3.531421875,0.92862,0.932629,1.9984878125,44.20611,55.619489375,7.8883446875
gauss,fixed_multilevel_tresholding,1.7,3,28.50617,21.1783581875,-28.639733125,0.92862,0.83417575,-8.787799625,44.20611,52.8298221875,2.5210515
gauss,fixed_multilevel_tresholding,1.7,5,28.50617,29.885465375,0.6447931875,0.92862,0.9287615,1.5739365625,44.20611,54.0079423125,4.7983958125
gauss,fixed_multilevel_tresholding,1.7,7,28.50617,30.7423310625,3.448292875,0.92862,0.932275,1.9583884375,44.20611,56.1933505,8.97033725
gauss,fixed_multilevel_tresholding,1.7,9,28.50617,30.7188181875,3.363882875,0.92862,0.931917625,1.917959375,44.20611,56.43516275,9.42857375
gauss,fixed_multilevel_tresholding,1.7,11,28.50617,30.70809525,3.3262296875,0.92862,0.9318235,1.9074124375,44.20611,56.4551213125,9.467431375
gauss,fixed_multilevel_tresholding,1.7,13,28.50617,30.7058945625,3.3185919375,0.92862,0.9318083125,1.905705,44.20611,56.4598786875,9.4761491875
gauss,fixed_multilevel_tresholding,2,3,28.50617,21.1791645,-28.6369906875,0.92862,0.834226375,-8.7822671875,44.20611,53.037815375,2.9396458125
gauss,fixed_multilevel_tresholding,2,5,28.50617,29.892103625,0.66590375,0.92862,0.92880175,1.57806975,44.20611,53.69394725,4.1733073125
gauss,fixed_multilevel_tresholding,2,7,28.50617,30.68267175,3.24061875,0.92862,0.9314184375,1.8626628125,44.20611,56.5572174375,9.6346663125
gauss,fixed_multilevel_tresholding,2,9,28.50617,30.5633810625,2.8278923125,0.92862,0.93011775,1.7176466875,44.20611,56.591183125,9.6983649375
gauss,fixed_multilevel_tresholding,2,11,28.50617,30.4956380625,2.5954506875,0.92862,0.9295220625,1.65137825,44.20611,56.559672125,9.6412525625
gauss,fixed_multilevel_tresholding,2,13,28.50617,30.47412525,2.521804375,0.92862,0.92936775,1.634220875,44.20611,56.58699625,9.6917889375
